、,1180,1180,8948,名詞,数,*,*,*,*,、,、,、,*/*,*
．,1180,1180,6029,名詞,数,*,*,*,*,．,．,．,1/1,*
百,1180,1180,2256,名詞,数,*,*,*,*,百,ヒャク,ヒャク,2/2,C3
五,1180,1180,4296,名詞,数,*,*,*,*,五,ゴ,ゴ,1/1,C3
数,1180,1180,4413,名詞,数,*,*,*,*,数,スウ,スー,1/2,C3
５,1180,1180,2068,名詞,数,*,*,*,*,５,ゴ,ゴ,1/1,C3
八,1180,1180,3274,名詞,数,*,*,*,*,八,ハチ,ハチ,2/2,C3
ひゃく,1180,1180,6938,名詞,数,*,*,*,*,ひゃく,ヒャク,ヒャク,0/3,*
・,1180,1180,4484,名詞,数,*,*,*,*,・,・,・,1/1,*
兆,1180,1180,4160,名詞,数,*,*,*,*,兆,チョウ,チョー,0/3,*
９,1180,1180,4516,名詞,数,*,*,*,*,９,キュウ,キュー,1/2,C3
七,1180,1180,3288,名詞,数,*,*,*,*,七,ナナ,ナナ,2/2,C3
三,1180,1180,3441,名詞,数,*,*,*,*,三,サン,サン,0/2,C3
０,1180,1180,4020,名詞,数,*,*,*,*,０,ゼロ,ゼロ,1/2,C3
０,1180,1180,2798,名詞,数,*,*,*,*,０,レイ,レイ,1/2,C3
万,1180,1180,2783,名詞,数,*,*,*,*,万,マン,マン,1/2,C3
零,1180,1180,1452,名詞,数,*,*,*,*,零,レイ,レイ,1/2,C3
四,1180,1180,2939,名詞,数,*,*,*,*,四,ヨン,ヨン,0/2,*
７,1180,1180,7461,名詞,数,*,*,*,*,７,ナナ,ナナ,1/2,C3
２,1180,1180,3156,名詞,数,*,*,*,*,２,ニ,ニ,1/1,C3
４,1180,1180,3029,名詞,数,*,*,*,*,４,ヨン,ヨン,1/2,C1
１,1180,1180,1833,名詞,数,*,*,*,*,１,イチ,イチ,2/2,C3
余,1180,1180,7698,名詞,数,*,*,*,*,余,ヨ,ヨ,1/1,C3
半,1180,1180,7290,名詞,数,*,*,*,*,半,ハン,ハン,1/2,C1
ゼロ,1180,1180,3516,名詞,数,*,*,*,*,ゼロ,ゼロ,ゼロ,0/2,*
６,1180,1180,2131,名詞,数,*,*,*,*,６,ロク,ロク,2/2,C3
ひと,1180,1180,7183,名詞,数,*,*,*,*,ひと,ヒト,ヒト,0/2,C3
〇,1180,1180,2285,名詞,数,*,*,*,*,〇,レイ,レイ,0/2,*
何,1180,1180,3216,名詞,数,*,*,*,*,何,ナン,ナン,0/2,*
幾,1180,1180,5110,名詞,数,*,*,*,*,幾,イク,イク,0/2,*
十,1180,1180,3446,名詞,数,*,*,*,*,十,ジュウ,ジュー,1/2,C3
十,1180,1180,3446,名詞,数,*,*,*,*,十,ジュウ,ジュッ,1/2,C3
六,1180,1180,1184,名詞,数,*,*,*,*,六,ロク,ロク,2/2,C3
いく,1180,1180,7897,名詞,数,*,*,*,*,いく,イク,イク,1/2,C3
８,1180,1180,2824,名詞,数,*,*,*,*,８,ハチ,ハチ,2/2,C3
３,1180,1180,3261,名詞,数,*,*,*,*,３,サン,サン,0/2,C3
二,1180,1180,2441,名詞,数,*,*,*,*,二,ニ,ニ,1/1,C3
○,1180,1180,4519,名詞,数,*,*,*,*,○,レイ,レイ,1/2,C3
，,1180,1180,4807,名詞,数,*,*,*,*,，,，,，,*/*,*
千,1180,1180,3187,名詞,数,*,*,*,*,千,セン,セン,1/2,C3
一,1180,1180,4044,名詞,数,*,*,*,*,一,イチ,イチ,2/2,C3
億,1180,1180,2178,名詞,数,*,*,*,*,億,オク,オク,0/2,*
九,1180,1180,1802,名詞,数,*,*,*,*,九,キュウ,キュー,1/2,C3
