合,1175,1175,8153,名詞,接尾,助数詞,*,*,*,合,ゴウ,ゴー,1/2,C3
廠,1171,1171,7559,名詞,接尾,一般,*,*,*,廠,ショウ,ショー,0/3,*
階,1175,1175,7885,名詞,接尾,助数詞,*,*,*,階,カイ,カイ,1/2,C4
難,1171,1171,6016,名詞,接尾,一般,*,*,*,難,ナン,ナン,1/2,C3
内,1171,1171,6087,名詞,接尾,一般,*,*,*,内,ナイ,ナイ,0/2,C3
違い,1171,1171,5007,名詞,接尾,一般,*,*,*,違い,チガイ,チガイ,0/3,C2
ｈａ,1175,1175,10462,名詞,接尾,助数詞,*,*,*,ｈａ,ヘクタール,ヘクタール,0/5,*
近い,1171,1171,8484,名詞,接尾,一般,*,*,*,近い,チカイ,チカイ,0/3,*
クラス,1175,1175,8930,名詞,接尾,助数詞,*,*,*,クラス,クラス,クラス,1/3,C1
含み,1171,1171,8535,名詞,接尾,一般,*,*,*,含み,ブクミ,ブクミ,3/3,C1
号棟,1175,1175,8125,名詞,接尾,助数詞,*,*,*,号棟,ゴウトウ,ゴートー,0/4,*
ミリ,1175,1175,8280,名詞,接尾,助数詞,*,*,*,ミリ,ミリ,ミリ,1/2,C3
ヶ村,1175,1175,8055,名詞,接尾,助数詞,*,*,*,ヶ村,カソン,カソン,0/3,*
ケ国,1175,1175,7984,名詞,接尾,助数詞,*,*,*,ケ国,カコク,カコク,0/3,*
別,1171,1171,6360,名詞,接尾,一般,*,*,*,別,ベツ,ベツ,0/2,C3
カ村,1175,1175,8055,名詞,接尾,助数詞,*,*,*,カ村,カソン,カソン,0/3,*
倍,1175,1175,7272,名詞,接尾,助数詞,*,*,*,倍,バイ,バイ,0/2,C3
盗,1175,1175,8350,名詞,接尾,助数詞,*,*,*,盗,トウ,トー,0/2,*
鉢,1175,1175,8269,名詞,接尾,助数詞,*,*,*,鉢,ハチ,ハチ,2/2,C3
次,1171,1171,6194,名詞,接尾,一般,*,*,*,次,ジ,ジ,1/1,C3
住まい,1171,1171,7728,名詞,接尾,一般,*,*,*,住まい,ズマイ,ズマイ,1/3,C1
通,1171,1171,6866,名詞,接尾,一般,*,*,*,通,ドオリ,ドーリ,1/3,C3
通,1171,1171,6131,名詞,接尾,一般,*,*,*,通,ツウ,ツー,1/3,C3
付け,1171,1171,6714,名詞,接尾,一般,*,*,*,付け,ヅケ,ズケ,2/2,C4
付け,1171,1171,7367,名詞,接尾,一般,*,*,*,付け,ツケ,ツケ,2/2,C4
基,1175,1175,9545,名詞,接尾,助数詞,*,*,*,基,キ,キ,1/1,C3
人,1175,1175,8555,名詞,接尾,助数詞,*,*,*,人,ニン,ニン,1/2,C3
制,1171,1171,6551,名詞,接尾,一般,*,*,*,制,セイ,セイ,1/2,C4
祓い,1171,1171,6257,名詞,接尾,一般,*,*,*,祓い,バライ,バライ,2/3,C1
前,1173,1173,9954,名詞,接尾,副詞可能,*,*,*,前,マエ,マエ,1/2,C1
係,1171,1171,6753,名詞,接尾,一般,*,*,*,係,ガカリ,ガカリ,1/3,C1
止まり,1171,1171,7800,名詞,接尾,一般,*,*,*,止まり,ドマリ,ドマリ,0/3,C2
術,1171,1171,7624,名詞,接尾,一般,*,*,*,術,ジュツ,ジュツ,1/2,C3
