δ,1335,1335,629,記号,アルファベット,*,*,*,*,δ,デルタ,デルタ,0/3,*
ｕ,1335,1335,4199,記号,アルファベット,*,*,*,*,ｕ,ユー,ユー,1/2,*
」,1338,1338,113,記号,括弧閉,*,*,*,*,」,」,」,1/1,*
—,1336,1336,2859,記号,一般,*,*,*,*,—,—,—,1/1,*
←,1336,1336,1937,記号,一般,*,*,*,*,←,←,←,1/1,*
゜,1336,1336,4064,記号,一般,*,*,*,*,゜,゜,゜,1/1,*
Ｘ,1335,1335,1513,記号,アルファベット,*,*,*,*,Ｘ,エックス,エックス,1/4,*
Ｎ,1335,1335,4577,記号,アルファベット,*,*,*,*,Ｎ,エヌ,エヌ,1/2,*
ｊ,1335,1335,4233,記号,アルファベット,*,*,*,*,ｊ,ジェイ,ジェイ,1/2,*
ゞ,1336,1336,4162,記号,一般,*,*,*,*,ゞ,ゞ,ゞ,1/1,*
Ζ,1335,1335,629,記号,アルファベット,*,*,*,*,Ζ,ゼータ,ゼータ,0/3,*
Ｒ,1335,1335,6171,記号,アルファベット,*,*,*,*,Ｒ,アール,アール,1/3,*
ｒ,1335,1335,4768,記号,アルファベット,*,*,*,*,ｒ,アール,アール,1/3,*
ζ,1335,1335,629,記号,アルファベット,*,*,*,*,ζ,ゼータ,ゼータ,0/3,*
ω,1335,1335,629,記号,アルファベット,*,*,*,*,ω,オメガ,オメガ,0/3,*
Η,1335,1335,629,記号,アルファベット,*,*,*,*,Η,イータ,イータ,0/3,*
ε,1335,1335,629,記号,アルファベット,*,*,*,*,ε,イプシロン,イプシロン,0/5,*
▽,1336,1336,1927,記号,一般,*,*,*,*,▽,▽,▽,1/1,*
｀,1336,1336,1937,記号,一般,*,*,*,*,｀,｀,｀,1/1,*
Ｈ,1335,1335,128,記号,アルファベット,*,*,*,*,Ｈ,エイチ,エイチ,1/3,*
Ｈ,1335,1335,3571,記号,アルファベット,*,*,*,*,Ｈ,エッチ,エッチ,1/3,*
β,1335,1335,625,記号,アルファベット,*,*,*,*,β,ベータ,ベータ,0/3,*
＼,1336,1336,1937,記号,一般,*,*,*,*,＼,＼,＼,1/1,*
Ｉ,1335,1335,4630,記号,アルファベット,*,*,*,*,Ｉ,アイ,アイ,1/2,*
仝,1336,1336,2845,記号,一般,*,*,*,*,仝,仝,仝,1/1,*
＜,1339,1339,626,記号,括弧開,*,*,*,*,＜,＜,＜,*/*,*
γ,1335,1335,629,記号,アルファベット,*,*,*,*,γ,ガンマ,ガンマ,0/3,*
£,1336,1336,1937,記号,一般,*,*,*,*,£,ポンド,ポンド,0/3,*
ν,1335,1335,377,記号,アルファベット,*,*,*,*,ν,ニュー,ニュー,0/3,*
τ,1335,1335,896,記号,アルファベット,*,*,*,*,τ,タウ,タウ,0/2,*
¥,1336,1336,1976,記号,一般,*,*,*,*,¥,エン,エン,0/2,*
