ため,1310,1310,9704,名詞,非自立,一般,*,*,*,ため,タメ,タメ,2/2,C3
まんま,1313,1313,6379,名詞,非自立,副詞可能,*,*,*,まんま,マンマ,マンマ,1/3,C1
以上,1313,1313,1531,名詞,非自立,副詞可能,*,*,*,以上,イジョウ,イジョー,0/4,*
際,1313,1313,5562,名詞,非自立,副詞可能,*,*,*,際,サイ,サイ,1/2,C3
ふし,1310,1310,6839,名詞,非自立,一般,*,*,*,ふし,フシ,フシ,2/2,C3
種,1310,1310,11660,名詞,非自立,一般,*,*,*,種,シュ,シュ,1/1,C3
ところ,1313,1313,6910,名詞,非自立,副詞可能,*,*,*,ところ,トコロ,トコロ,0/3,C2
様,1312,1312,7000,名詞,非自立,助動詞語幹,*,*,*,様,ヨウ,ヨー,2/2,C3
うち,1313,1313,5796,名詞,非自立,副詞可能,*,*,*,うち,ウチ,ウチ,0/2,C3
程,1310,1310,9068,名詞,非自立,一般,*,*,*,程,ホド,ホド,0/2,C3
そう,1309,1309,7929,名詞,特殊,助動詞語幹,*,*,*,そう,ソウ,ソー,0/2,動詞%F2@1/形容詞%F2@1
せい,1310,1310,6739,名詞,非自立,一般,*,*,*,せい,セイ,セイ,1/2,C3
自身,1313,1313,8429,名詞,非自立,副詞可能,*,*,*,自身,ジシン,ジシン,1/3,C1
ごと,1313,1313,8726,名詞,非自立,副詞可能,*,*,*,ごと,ゴト,ゴト,0/2,C4
とき,1310,1310,8483,名詞,非自立,一般,*,*,*,とき,トキ,トキ,1/2,C3
上,1313,1313,6970,名詞,非自立,副詞可能,*,*,*,上,ウエ,ウエ,0/2,C4
上,1313,1313,11927,名詞,非自立,副詞可能,*,*,*,上,ジョウ,ジョー,0/2,C4
以外,1313,1313,6241,名詞,非自立,副詞可能,*,*,*,以外,イガイ,イガイ,0/3,*
ＶＳ,1296,1296,4169,名詞,接続詞的,*,*,*,*,ＶＳ,バーサス,バーサス,0/4,C2
ＶＳ,1296,1296,7682,名詞,接続詞的,*,*,*,*,ＶＳ,ブイエス,ブイエス,0/4,C2
フシ,1310,1310,4647,名詞,非自立,一般,*,*,*,フシ,フシ,フシ,2/2,C3
はず,1313,1313,9965,名詞,非自立,副詞可能,*,*,*,はず,ハズ,ハズ,0/2,C3
訳,1310,1310,8944,名詞,非自立,一般,*,*,*,訳,ワケ,ワケ,1/2,C3
さら,1310,1310,5729,名詞,非自立,一般,*,*,*,さら,サラ,サラ,1/2,C4
よう,1312,1312,4540,名詞,非自立,助動詞語幹,*,*,*,よう,ヨウ,ヨー,1/2,動詞%F2@1/形容詞%F2@1
日,1310,1310,9192,名詞,非自立,一般,*,*,*,日,ヒ,ヒ,0/1,C3
ご覧,1308,1308,6895,名詞,動詞非自立的,*,*,*,*,ご覧,ゴラン,ゴラン,0/3,C2
所,1313,1313,8315,名詞,非自立,副詞可能,*,*,*,所,トコロ,トコロ,0/3,C2
なか,1313,1313,5680,名詞,非自立,副詞可能,*,*,*,なか,ナカ,ナカ,1/2,C4
まま,1313,1313,7530,名詞,非自立,副詞可能,*,*,*,まま,ママ,ママ,2/2,C3
生み,1310,1310,4566,名詞,非自立,一般,*,*,*,生み,ウミ,ウミ,0/2,C3
機,1310,1310,10416,名詞,非自立,一般,*,*,*,機,キ,キ,1/1,C3
かた,1310,1310,9605,名詞,非自立,一般,*,*,*,かた,カタ,カタ,2/2,C3
対,1296,1296,4740,名詞,接続詞的,*,*,*,*,対,タイ,タイ,1/2,C3
モノ,1310,1310,6069,名詞,非自立,一般,*,*,*,モノ,モノ,モノ,2/2,C4
わけ,1310,1310,7320,名詞,非自立,一般,*,*,*,わけ,ワケ,ワケ,1/2,C3
ゆえ,1313,1313,7604,名詞,非自立,副詞可能,*,*,*,ゆえ,ユエ,ユエ,2/2,C3
下,1310,1310,9364,名詞,非自立,一般,*,*,*,下,モト,モト,2/2,C3
時,1313,1313,6652,名詞,非自立,副詞可能,*,*,*,時,トキ,トキ,2/2,C3
かぎり,1313,1313,6327,名詞,非自立,副詞可能,*,*,*,かぎり,カギリ,カギリ,1/3,C1
矢先,1313,1313,5604,名詞,非自立,副詞可能,*,*,*,矢先,ヤサキ,ヤサキ,3/3,C2
度,1313,1313,8615,名詞,非自立,副詞可能,*,*,*,度,タビ,タビ,2/2,C3
後,1313,1313,6521,名詞,非自立,副詞可能,*,*,*,後,ノチ,ノチ,2/2,C3
がい,1310,1310,7811,名詞,非自立,一般,*,*,*,がい,ガイ,ガイ,0/2,C4
ため,1313,1313,4891,名詞,非自立,副詞可能,*,*,*,ため,タメ,タメ,2/2,C3
うえ,1313,1313,8265,名詞,非自立,副詞可能,*,*,*,うえ,ウエ,ウエ,0/2,*
うえ,1310,1310,10781,名詞,非自立,一般,*,*,*,うえ,ウエ,ウエ,0/2,*
側,1310,1310,12223,名詞,非自立,一般,*,*,*,側,ガワ,ガワ,0/2,C4
つど,1313,1313,6391,名詞,非自立,副詞可能,*,*,*,つど,ツド,ツド,0/2,*
たか,1310,1310,8594,名詞,非自立,一般,*,*,*,たか,タカ,タカ,0/2,C3
初め,1313,1313,8519,名詞,非自立,副詞可能,*,*,*,初め,ハジメ,ハジメ,0/3,C2
下,1313,1313,11664,名詞,非自立,副詞可能,*,*,*,下,モト,モト,2/2,C3
中,1313,1313,6528,名詞,非自立,副詞可能,*,*,*,中,ナカ,ナカ,1/2,C4
中,1313,1313,9879,名詞,非自立,副詞可能,*,*,*,中,チュウ,チュー,1/2,C4
中,1313,1313,11182,名詞,非自立,副詞可能,*,*,*,中,ジュウ,ジュー,1/2,C4
ちょ,1308,1308,7564,名詞,動詞非自立的,*,*,*,*,ちょ,チョ,チョ,0/2,*
内,1313,1313,7894,名詞,非自立,副詞可能,*,*,*,内,ウチ,ウチ,0/2,C3
気,1310,1310,6928,名詞,非自立,一般,*,*,*,気,キ,キ,0/1,C3
半,1310,1310,11287,名詞,非自立,一般,*,*,*,半,ハン,ハン,1/2,C1
頃,1313,1313,6553,名詞,非自立,副詞可能,*,*,*,頃,コロ,コロ,1/2,C3
どころ,1310,1310,4844,名詞,非自立,一般,*,*,*,どころ,ドコロ,ドコロ,1/3,C1
故,1313,1313,9176,名詞,非自立,副詞可能,*,*,*,故,ユエ,ユエ,2/2,C3
すべ,1310,1310,9437,名詞,非自立,一般,*,*,*,すべ,スベ,スベ,1/2,C3
以南,1310,1310,6711,名詞,非自立,一般,*,*,*,以南,イナン,イナン,1/3,C1
御覧,1308,1308,5268,名詞,動詞非自立的,*,*,*,*,御覧,ゴラン,ゴラン,0/3,C2
はず,1310,1310,3659,名詞,非自立,一般,*,*,*,はず,ハズ,ハズ,0/2,C3
ころ,1313,1313,6580,名詞,非自立,副詞可能,*,*,*,ころ,コロ,コロ,1/2,C3
以下,1313,1313,5663,名詞,非自立,副詞可能,*,*,*,以下,イカ,イカ,0/2,*
もと,1310,1310,7348,名詞,非自立,一般,*,*,*,もと,モト,モト,2/2,C3
場,1310,1310,14492,名詞,非自立,一般,*,*,*,場,バ,バ,0/1,C4
旨,1310,1310,7118,名詞,非自立,一般,*,*,*,旨,ムネ,ムネ,2/2,C3
あまり,1310,1310,7420,名詞,非自立,一般,*,*,*,あまり,アマリ,アマリ,1/3,C1
時,1310,1310,11727,名詞,非自立,一般,*,*,*,時,トキ,トキ,2/2,C3
外,1313,1313,12296,名詞,非自立,副詞可能,*,*,*,外,ホカ,ホカ,1/2,C3
折,1310,1310,7222,名詞,非自立,一般,*,*,*,折,オリ,オリ,2/2,C3
もの,1310,1310,5137,名詞,非自立,一般,*,*,*,もの,モノ,モノ,2/2,C4
ついで,1313,1313,5863,名詞,非自立,副詞可能,*,*,*,ついで,ツイデ,ツイデ,0/3,C2
もん,1310,1310,5993,名詞,非自立,一般,*,*,*,もん,モン,モン,1/2,C4
とおり,1313,1313,6651,名詞,非自立,副詞可能,*,*,*,とおり,トオリ,トーリ,3/3,C2
