美濃赤坂線,1288,1288,8538,名詞,固有名詞,一般,*,*,*,美濃赤坂線,ミノアカサカセン,ミノアカサカセン,0/8,*
広見山,1288,1288,8538,名詞,固有名詞,一般,*,*,*,広見山,ヒロミヤマ,ヒロミヤマ,0/5,*
ファンタスト,1288,1288,3758,名詞,固有名詞,一般,*,*,*,ファンタスト,ファンタスト,ファンタスト,0/6,*
村碆,1288,1288,8538,名詞,固有名詞,一般,*,*,*,村碆,ムラバエ,ムラバエ,0/4,*
甲森,1288,1288,8538,名詞,固有名詞,一般,*,*,*,甲森,カブトモリ,カブトモリ,0/5,*
千葉マリン,1288,1288,5995,名詞,固有名詞,一般,*,*,*,千葉マリン,チバマリン,チバマリン,0/5,*
小日向山,1288,1288,8538,名詞,固有名詞,一般,*,*,*,小日向山,オビナタヤマ,オビナタヤマ,0/6,*
草尾峠,1288,1288,8538,名詞,固有名詞,一般,*,*,*,草尾峠,クサオトウゲ,クサオトーゲ,0/6,*
八神,1288,1288,7282,名詞,固有名詞,一般,*,*,*,八神,ヤガミ,ヤガミ,0/3,*
ナカ崎,1288,1288,3765,名詞,固有名詞,一般,*,*,*,ナカ崎,ナカサキ,ナカサキ,0/4,*
障子山,1288,1288,8538,名詞,固有名詞,一般,*,*,*,障子山,ショウジヤマ,ショージヤマ,0/6,*
会津長野,1288,1288,8538,名詞,固有名詞,一般,*,*,*,会津長野,アイヅナガノ,アイズナガノ,0/6,*
切ノ鼻,1288,1288,8538,名詞,固有名詞,一般,*,*,*,切ノ鼻,キリノハナ,キリノハナ,0/5,*
天王,1288,1288,8609,名詞,固有名詞,一般,*,*,*,天王,テンノウ,テンノー,3/4,C2
シリムクリ崎,1288,1288,3765,名詞,固有名詞,一般,*,*,*,シリムクリ崎,シリムクリザキ,シリムクリザキ,0/7,*
乙舞峠,1288,1288,8538,名詞,固有名詞,一般,*,*,*,乙舞峠,オトマイトウゲ,オトマイトーゲ,0/7,*
枕木山,1288,1288,8538,名詞,固有名詞,一般,*,*,*,枕木山,マクラギサン,マクラギサン,0/6,*
茶臼原,1288,1288,8538,名詞,固有名詞,一般,*,*,*,茶臼原,チャウスバル,チャウスバル,0/6,*
鷹巣盆地,1288,1288,8538,名詞,固有名詞,一般,*,*,*,鷹巣盆地,タカノスボンチ,タカノスボンチ,0/7,*
湯蔵山,1288,1288,8538,名詞,固有名詞,一般,*,*,*,湯蔵山,ユゾウサン,ユゾーサン,0/5,*
白樺高原,1288,1288,8538,名詞,固有名詞,一般,*,*,*,白樺高原,シラカバコウゲン,シラカバコーゲン,0/8,*
引っかけ橋,1288,1288,8538,名詞,固有名詞,一般,*,*,*,引っかけ橋,ヒッカケバシ,ヒッカケバシ,0/6,*
仙山東線,1288,1288,8538,名詞,固有名詞,一般,*,*,*,仙山東線,センザントウセン,センザントーセン,0/8,*
イワオヌプリ,1288,1288,3765,名詞,固有名詞,一般,*,*,*,イワオヌプリ,イワオヌプリ,イワオヌプリ,0/6,*
油川,1288,1288,8538,名詞,固有名詞,一般,*,*,*,油川,アブラカワ,アブラカワ,0/5,*
遠戸島,1288,1288,8538,名詞,固有名詞,一般,*,*,*,遠戸島,トオドシマ,トードシマ,0/5,*
猪ノ瀬,1288,1288,8538,名詞,固有名詞,一般,*,*,*,猪ノ瀬,イノセ,イノセ,0/3,*
下深川,1288,1288,8538,名詞,固有名詞,一般,*,*,*,下深川,シモフカワ,シモフカワ,0/5,*
有形山,1288,1288,8538,名詞,固有名詞,一般,*,*,*,有形山,アリガタヤマ,アリガタヤマ,0/6,*
延方,1288,1288,8538,名詞,固有名詞,一般,*,*,*,延方,ノブカタ,ノブカタ,0/4,*
湖尻峠,1288,1288,8538,名詞,固有名詞,一般,*,*,*,湖尻峠,コジリトウゲ,コジリトーゲ,0/6,*
磯原,1288,1288,8538,名詞,固有名詞,一般,*,*,*,磯原,イソハラ,イソハラ,0/4,*
福士川,1288,1288,8538,名詞,固有名詞,一般,*,*,*,福士川,フクシガワ,フクシガワ,0/5,*
マン,1288,1288,5171,名詞,固有名詞,一般,*,*,*,マン,マン,マン,1/2,C3
水郡南線,1288,1288,8538,名詞,固有名詞,一般,*,*,*,水郡南線,スイグンナンセン,スイグンナンセン,0/8,*
志計礼辺山,1288,1288,8538,名詞,固有名詞,一般,*,*,*,志計礼辺山,シケレペヤマ,シケレペヤマ,0/6,*
牛ヶ首島,1288,1288,8538,名詞,固有名詞,一般,*,*,*,牛ヶ首島,ウシガクビジマ,ウシガクビジマ,0/7,*
三光寺,1288,1288,7246,名詞,固有名詞,一般,*,*,*,三光寺,サンコウジ,サンコージ,0/5,*
塩ノ沢峠,1288,1288,8538,名詞,固有名詞,一般,*,*,*,塩ノ沢峠,シオノサワトウゲ,シオノサワトーゲ,0/8,*
港南中央,1288,1288,8538,名詞,固有名詞,一般,*,*,*,港南中央,コウナンチュウオウ,コーナンチューオー,0/9,*
繰石峠,1288,1288,8538,名詞,固有名詞,一般,*,*,*,繰石峠,クリイシトウゲ,クリイシトーゲ,0/7,*
シノダイ崎,1288,1288,3765,名詞,固有名詞,一般,*,*,*,シノダイ崎,シノダイサキ,シノダイサキ,0/6,*
佐田岬,1288,1288,8538,名詞,固有名詞,一般,*,*,*,佐田岬,サダミサキ,サダミサキ,0/5,*
陣場,1288,1288,8538,名詞,固有名詞,一般,*,*,*,陣場,ジンバ,ジンバ,0/3,*
山嶽,1288,1288,9332,名詞,固有名詞,一般,*,*,*,山嶽,サンゴク,サンゴク,0/4,*
池郷川,1288,1288,8538,名詞,固有名詞,一般,*,*,*,池郷川,イケゴウガワ,イケゴーガワ,0/6,*
梶取ノ鼻,1288,1288,8538,名詞,固有名詞,一般,*,*,*,梶取ノ鼻,カジトリノハナ,カジトリノハナ,0/7,*
富良野盆地,1288,1288,8538,名詞,固有名詞,一般,*,*,*,富良野盆地,フラノボンチ,フラノボンチ,0/6,*
本郷三丁目,1288,1288,8538,名詞,固有名詞,一般,*,*,*,本郷三丁目,ホンゴウサンチョウメ,ホンゴーサンチョーメ,0/10,*
大竹,1288,1288,8537,名詞,固有名詞,一般,*,*,*,大竹,オオタケ,オータケ,0/4,*
天ケ岡,1288,1288,8538,名詞,固有名詞,一般,*,*,*,天ケ岡,テンガオカ,テンガオカ,0/5,*
札幌貨物ターミナル,1288,1288,8538,名詞,固有名詞,一般,*,*,*,札幌貨物ターミナル,サッポロカモツターミナル,サッポロカモツターミナル,0/12,*
ハルタモシリ島,1288,1288,3765,名詞,固有名詞,一般,*,*,*,ハルタモシリ島,ハルタモシリトウ,ハルタモシリトー,0/8,*
木津,1288,1288,8617,名詞,固有名詞,一般,*,*,*,木津,キヅ,キズ,0/2,*
鯨ヶ岳,1288,1288,8538,名詞,固有名詞,一般,*,*,*,鯨ヶ岳,クジラガダケ,クジラガダケ,5/6,C1
鯨ヶ岳,1288,1288,8538,名詞,固有名詞,一般,*,*,*,鯨ヶ岳,クジラガタケ,クジラガタケ,5/6,C1
留茶留山,1288,1288,8538,名詞,固有名詞,一般,*,*,*,留茶留山,ルチャルヤマ,ルチャルヤマ,0/6,*
田野,1288,1288,9470,名詞,固有名詞,一般,*,*,*,田野,タノ,タノ,0/2,C3
小野子山,1288,1288,8538,名詞,固有名詞,一般,*,*,*,小野子山,オノコヤマ,オノコヤマ,0/5,*
高倉森,1288,1288,8538,名詞,固有名詞,一般,*,*,*,高倉森,タカクラモリ,タカクラモリ,0/6,*
靄岳,1288,1288,8538,名詞,固有名詞,一般,*,*,*,靄岳,モヤダケ,モヤダケ,0/4,*
尻高森,1288,1288,8538,名詞,固有名詞,一般,*,*,*,尻高森,シリタカモリ,シリタカモリ,0/6,*
兜巾山,1288,1288,8538,名詞,固有名詞,一般,*,*,*,兜巾山,トキンヤマ,トキンヤマ,0/5,*
安祥寺山,1288,1288,8538,名詞,固有名詞,一般,*,*,*,安祥寺山,アンショウテラヤマ,アンショーテラヤマ,0/9,*
不動川,1288,1288,8538,名詞,固有名詞,一般,*,*,*,不動川,フドウガワ,フドーガワ,0/5,*
入鹿別川,1288,1288,8538,名詞,固有名詞,一般,*,*,*,入鹿別川,イリシカベツガワ,イリシカベツガワ,0/8,*
久々子湖,1288,1288,8538,名詞,固有名詞,一般,*,*,*,久々子湖,クグシコ,クグシコ,0/4,*
ヌカナン川,1288,1288,3765,名詞,固有名詞,一般,*,*,*,ヌカナン川,ヌカナンガワ,ヌカナンガワ,0/6,*
野津辺沢,1288,1288,8538,名詞,固有名詞,一般,*,*,*,野津辺沢,ノッペザワ,ノッペザワ,0/5,*
大天橋,1288,1288,8538,名詞,固有名詞,一般,*,*,*,大天橋,オオアマバシ,オーアマバシ,0/6,*
笹島鼻,1288,1288,8538,名詞,固有名詞,一般,*,*,*,笹島鼻,ササジマバナ,ササジマバナ,0/6,*
諸葛川,1288,1288,8538,名詞,固有名詞,一般,*,*,*,諸葛川,モログツガワ,モログツガワ,0/6,*
節刀ヶ岳,1288,1288,8538,名詞,固有名詞,一般,*,*,*,節刀ヶ岳,セットウガタケ,セットーガタケ,0/7,*
小大日山,1288,1288,8538,名詞,固有名詞,一般,*,*,*,小大日山,コダイニチザン,コダイニチザン,0/7,*
増穂ケ浦,1288,1288,8538,名詞,固有名詞,一般,*,*,*,増穂ケ浦,マスホガウラ,マスホガウラ,0/6,*
筒賀,1288,1288,8538,名詞,固有名詞,一般,*,*,*,筒賀,ツツガ,ツツガ,0/3,*
宇井郷谷,1288,1288,8538,名詞,固有名詞,一般,*,*,*,宇井郷谷,ウイゴウダニ,ウイゴーダニ,0/6,*
郡元,1288,1288,8538,名詞,固有名詞,一般,*,*,*,郡元,コオリモト,コーリモト,0/5,*
中央高校前,1288,1288,8538,名詞,固有名詞,一般,*,*,*,中央高校前,チュウオウコウコウマエ,チューオーコーコーマエ,0/11,*
佐々並川,1288,1288,8538,名詞,固有名詞,一般,*,*,*,佐々並川,サザナミガワ,サザナミガワ,0/6,*
沖ノ黒島,1288,1288,8538,名詞,固有名詞,一般,*,*,*,沖ノ黒島,オキノクロシマ,オキノクロシマ,0/7,*
馬糞森山,1288,1288,8538,名詞,固有名詞,一般,*,*,*,馬糞森山,バフンモリヤマ,バフンモリヤマ,0/7,*
広見線,1288,1288,8538,名詞,固有名詞,一般,*,*,*,広見線,ヒロミセン,ヒロミセン,0/5,*
長谷峠,1288,1288,8538,名詞,固有名詞,一般,*,*,*,長谷峠,ナガタニトウゲ,ナガタニトーゲ,0/7,*
五所川原,1288,1288,7246,名詞,固有名詞,一般,*,*,*,五所川原,ゴショガワラ,ゴショガワラ,0/6,*
南股沢,1288,1288,8538,名詞,固有名詞,一般,*,*,*,南股沢,ミナミマタザワ,ミナミマタザワ,0/7,*
恵那,1288,1288,8548,名詞,固有名詞,一般,*,*,*,恵那,エナ,エナ,0/2,*
姫路,1288,1288,8905,名詞,固有名詞,一般,*,*,*,姫路,ヒメジ,ヒメジ,0/3,*
草薙,1288,1288,8538,名詞,固有名詞,一般,*,*,*,草薙,クサナギ,クサナギ,0/4,*
三本峠,1288,1288,7246,名詞,固有名詞,一般,*,*,*,三本峠,サンボントウゲ,サンボントーゲ,0/7,*
大津賀山,1288,1288,8538,名詞,固有名詞,一般,*,*,*,大津賀山,オオツガヤマ,オーツガヤマ,0/6,*
猿ケ山,1288,1288,8538,名詞,固有名詞,一般,*,*,*,猿ケ山,サルガヤマ,サルガヤマ,0/5,*
碧海,1288,1288,8538,名詞,固有名詞,一般,*,*,*,碧海,ヘキカイ,ヘキカイ,0/4,C2
笠良原,1288,1288,8538,名詞,固有名詞,一般,*,*,*,笠良原,カサラバラ,カサラバラ,0/5,*
十王峠,1288,1288,7246,名詞,固有名詞,一般,*,*,*,十王峠,ジュウオウトウゲ,ジューオートーゲ,5/7,C1
十王峠,1288,1288,7246,名詞,固有名詞,一般,*,*,*,十王峠,ジオウトウゲ,ジオートーゲ,5/7,C1
尾崎山,1288,1288,8538,名詞,固有名詞,一般,*,*,*,尾崎山,オザキヤマ,オザキヤマ,0/5,C1
尾崎山,1288,1288,8538,名詞,固有名詞,一般,*,*,*,尾崎山,オサキヤマ,オサキヤマ,0/5,C1
有帆川,1288,1288,8538,名詞,固有名詞,一般,*,*,*,有帆川,アリホガワ,アリホガワ,0/5,*
常盤川,1288,1288,8538,名詞,固有名詞,一般,*,*,*,常盤川,トキワガワ,トキワガワ,0/5,*
上豊田,1288,1288,8538,名詞,固有名詞,一般,*,*,*,上豊田,カミトヨタ,カミトヨタ,0/5,*
イスラム教,1288,1288,3654,名詞,固有名詞,一般,*,*,*,イスラム教,イスラムキョウ,イスラムキョー,0/7,*
西太子堂,1288,1288,8538,名詞,固有名詞,一般,*,*,*,西太子堂,ニシタイシドウ,ニシタイシドー,0/7,*
柴森山,1288,1288,8538,名詞,固有名詞,一般,*,*,*,柴森山,シバモリヤマ,シバモリヤマ,0/6,*
佐見川,1288,1288,8538,名詞,固有名詞,一般,*,*,*,佐見川,サミガワ,サミガワ,0/4,*
宗谷湾,1288,1288,8538,名詞,固有名詞,一般,*,*,*,宗谷湾,ソウヤワン,ソーヤワン,0/5,*
今淵ヶ岳,1288,1288,8538,名詞,固有名詞,一般,*,*,*,今淵ヶ岳,イマブチガダケ,イマブチガダケ,0/7,*
島ヶ原,1288,1288,8538,名詞,固有名詞,一般,*,*,*,島ヶ原,シマガハラ,シマガハラ,0/5,*
深日港,1288,1288,8538,名詞,固有名詞,一般,*,*,*,深日港,フケコウ,フケコー,0/4,*
田尾寺,1288,1288,8538,名詞,固有名詞,一般,*,*,*,田尾寺,タオジ,タオジ,0/3,*
安家川,1288,1288,8538,名詞,固有名詞,一般,*,*,*,安家川,アッカガワ,アッカガワ,0/5,*
石門崎,1288,1288,8538,名詞,固有名詞,一般,*,*,*,石門崎,セキモンザキ,セキモンザキ,0/6,*
須原,1288,1288,8538,名詞,固有名詞,一般,*,*,*,須原,スハラ,スハラ,0/3,*
