δ,4,4,949,記号,アルファベット,*,*,*,*,δ,デルタ,デルタ,0/3,*
u,4,4,5536,記号,アルファベット,*,*,*,*,ｕ,ユー,ユー,1/2,*
」,7,7,1161,記号,括弧閉,*,*,*,*,」,」,」,1/1,*
—,5,5,3970,記号,一般,*,*,*,*,—,—,—,1/1,*
←,5,5,1819,記号,一般,*,*,*,*,←,←,←,1/1,*
゜,5,5,4977,記号,一般,*,*,*,*,゜,゜,゜,1/1,*
x,4,4,1647,記号,アルファベット,*,*,*,*,Ｘ,エックス,エックス,1/4,*
n,4,4,6484,記号,アルファベット,*,*,*,*,Ｎ,エヌ,エヌ,1/2,*
j,4,4,5554,記号,アルファベット,*,*,*,*,ｊ,ジェイ,ジェイ,1/2,*
ゞ,5,5,5002,記号,一般,*,*,*,*,ゞ,ゞ,ゞ,1/1,*
Ζ,4,4,949,記号,アルファベット,*,*,*,*,Ζ,ゼータ,ゼータ,0/3,*
r,4,4,7587,記号,アルファベット,*,*,*,*,Ｒ,アール,アール,1/3,*
r,4,4,6087,記号,アルファベット,*,*,*,*,ｒ,アール,アール,1/3,*
ζ,4,4,949,記号,アルファベット,*,*,*,*,ζ,ゼータ,ゼータ,0/3,*
ω,4,4,949,記号,アルファベット,*,*,*,*,ω,オメガ,オメガ,0/3,*
Η,4,4,949,記号,アルファベット,*,*,*,*,Η,イータ,イータ,0/3,*
ε,4,4,949,記号,アルファベット,*,*,*,*,ε,イプシロン,イプシロン,0/5,*
▽,5,5,1802,記号,一般,*,*,*,*,▽,▽,▽,1/1,*
｀,5,5,1819,記号,一般,*,*,*,*,｀,｀,｀,1/1,*
h,4,4,-209,記号,アルファベット,*,*,*,*,Ｈ,エイチ,エイチ,1/3,*
h,4,4,5144,記号,アルファベット,*,*,*,*,Ｈ,エッチ,エッチ,1/3,*
β,4,4,945,記号,アルファベット,*,*,*,*,β,ベータ,ベータ,0/3,*
＼,5,5,1819,記号,一般,*,*,*,*,＼,＼,＼,1/1,*
